,id,position,average_speed,total_laps,time,points,status,rider.id,rider.full_name,rider.country.iso,rider.country.name,rider.country.region_iso,rider.legacy_id,rider.number,team.id,team.name,team.legacy_id,team.season.id,team.season.year,team.season.current,constructor.id,constructor.name,constructor.legacy_id,gap.first,gap.lap,event_id,event_name
0,d34b642c-d22d-4fc6-9140-e4ccb84a3370,1.0,168.2,22,42:13.1980,25,INSTND,ff225c9d-64a2-43ac-a70e-62cf385a85a1,Enea Bastianini,IT,Italy,,8295,23,a86166df-d247-4c80-a6eb-2a338e3475c7,Gresini Racing MotoGP,68,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.000,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
1,4bfde940-8a4d-4f59-b7d1-8be73e479d3a,2.0,168.1,22,42:13.5440,20,INSTND,ba579548-f026-402b-a607-38db5317d33f,Brad Binder,ZA,South Africa,,7646,33,06be669d-467c-4ca4-885d-27c22ccdcc49,Red Bull KTM Factory Racing,74,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,0.346,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
2,a07bf2dd-6444-4f70-b66f-c63e8eb30ca8,3.0,168.1,22,42:14.5490,16,INSTND,40c19361-abe5-46e8-bed9-b3fa648dd7ac,Pol Espargaro,ES,Spain,,7086,44,9c7b0420-682f-41dd-8176-84f8f6510720,Repsol Honda Team,81,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,1.351,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
3,afc5a08d-cd32-4f1d-98a9-083d458f7281,4.0,168.0,22,42:15.4400,13,INSTND,4cff2dfb-2feb-4264-9a17-8a67189c204c,Aleix Espargaro,ES,Spain,,6854,41,e118eac7-8c41-4667-bb45-1a5d4b8341bc,Aprilia Racing,78,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,2.242,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
4,45576e63-0b83-4a72-a4dc-febca9c8b2c3,5.0,167.9,22,42:17.2970,11,INSTND,f55b433d-38b8-4d1d-bb3a-a709c82a0260,Marc Marquez,ES,Spain,,7444,93,88b9574b-8a62-4099-87c2-0c8c410d52c0,Repsol Honda Team,91,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,4.099,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
5,df50491c-b5e4-4248-af99-14907a298544,6.0,167.8,22,42:18.0410,10,INSTND,9a441928-d1af-452d-afce-fa028c044932,Joan Mir,ES,Spain,,8141,36,e2c1ded7-1280-4096-a2fb-cae4e837ebf1,Team SUZUKI ECSTAR,76,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,4.843,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
6,95c7c464-a506-4036-8cc8-5ac9a4eb52bc,7.0,167.6,22,42:22.0080,9,INSTND,56475aa3-f3d1-485a-b6db-ca1149e1b6fa,Alex Rins,ES,Spain,,8150,42,fe3e1100-ed6c-4da1-894d-feb381413d07,Team SUZUKI ECSTAR,79,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,8.810,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
7,1fde9f8e-1014-4686-aee6-191b7368fb23,8.0,167.5,22,42:23.7340,8,INSTND,487440af-cfa9-478a-903b-4e893ee18d3a,Johann Zarco,FR,France,,7236,5,e37b36d6-3701-49cf-961f-7734b190d57f,Prima Pramac Racing,62,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,10.536,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
8,a3ea8226-67c1-4d89-a5a1-26dd1b33c7af,9.0,167.5,22,42:23.7410,7,INSTND,fcdd5500-a769-4ff4-8b9e-080d1849ff42,Fabio Quartararo,FR,France,,8520,20,841f623b-8c22-4885-b81f-f752923ab9ad,Monster Energy Yamaha MotoGP,66,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,10.543,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
9,97a8a1b1-6682-4ded-b89b-3f4f6e19d89f,10.0,167.2,22,42:28.1650,6,INSTND,201ae7a4-0dc7-4191-be71-d91ac0330090,Takaaki Nakagami,JP,Japan,,6976,30,f40f6cc8-a4c3-44e4-a2e8-3e93d9a64f8c,LCR Honda IDEMITSU,72,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,False,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,14.967,0,0561c82b-4738-4bb6-88d0-6df77f002a43,QAT
